sma_window,atr_window,atr_multiplier,cagr,max_dd,trades,win_rate
30,10,0.3,0.221,-0.281,72,0.528
40,20,0.5,0.22,-0.276,44,0.636
25,14,0.2,0.218,-0.321,84,0.512
30,14,0.3,0.217,-0.299,72,0.528
30,14,0.35,0.216,-0.281,68,0.529
20,14,0.4,0.215,-0.375,72,0.569
20,20,0.4,0.214,-0.375,74,0.568
20,20,0.45,0.213,-0.375,71,0.577
35,3,0.3,0.213,-0.288,65,0.6
30,3,0.35,0.213,-0.281,68,0.529
20,10,0.5,0.212,-0.375,71,0.577
30,7,0.3,0.212,-0.281,72,0.528
25,7,0.2,0.212,-0.321,84,0.512
35,5,0.1,0.212,-0.281,81,0.531
25,10,0.2,0.212,-0.321,86,0.512
40,14,0.35,0.212,-0.281,64,0.578
35,7,0.1,0.211,-0.281,83,0.542
35,14,0.05,0.211,-0.313,87,0.529
30,5,0.35,0.211,-0.281,68,0.515
25,20,0.25,0.211,-0.347,80,0.537
25,14,0.25,0.211,-0.347,82,0.537
25,3,0.2,0.211,-0.321,90,0.511
20,14,0.45,0.21,-0.375,71,0.577
30,10,0.35,0.21,-0.281,68,0.529
20,3,0.5,0.21,-0.375,70,0.586
30,10,0.25,0.21,-0.313,74,0.527
25,5,0.2,0.21,-0.321,88,0.511
35,5,0.05,0.21,-0.313,89,0.539
30,5,0.5,0.21,-0.288,57,0.561
35,14,0.2,0.21,-0.281,69,0.58
35,5,0.15,0.21,-0.281,73,0.548
35,3,0.2,0.21,-0.281,73,0.548
40,14,0.5,0.21,-0.276,48,0.583
35,5,0.2,0.209,-0.281,73,0.548
35,7,0.3,0.209,-0.288,63,0.587
35,20,0.05,0.209,-0.313,87,0.529
20,10,0.45,0.209,-0.375,72,0.569
30,14,0.25,0.209,-0.313,74,0.527
30,7,0.35,0.209,-0.281,66,0.515
25,20,0.2,0.209,-0.347,86,0.512
35,5,0.3,0.208,-0.281,67,0.612
35,14,0.45,0.208,-0.288,55,0.6
35,3,0.1,0.208,-0.281,83,0.53
35,10,0.1,0.208,-0.281,83,0.53
20,14,0.5,0.208,-0.375,71,0.577
20,7,0.45,0.207,-0.375,72,0.569
35,7,0.05,0.206,-0.313,89,0.539
20,20,0.5,0.206,-0.375,69,0.565
35,10,0.3,0.206,-0.288,63,0.587
35,10,0.05,0.206,-0.313,87,0.529
35,3,0.05,0.206,-0.313,89,0.539
30,14,0.4,0.205,-0.288,60,0.533
25,3,0.25,0.205,-0.321,82,0.512
30,20,0.35,0.205,-0.281,68,0.544
35,10,0.25,0.205,-0.292,69,0.58
40,10,0.2,0.205,-0.281,75,0.507
35,14,0.1,0.205,-0.281,81,0.531
20,3,0.35,0.204,-0.375,76,0.539
20,7,0.5,0.204,-0.375,70,0.557
35,14,0.15,0.204,-0.281,75,0.547
35,20,0.15,0.204,-0.281,77,0.545
35,5,0.25,0.204,-0.281,71,0.563
25,7,0.25,0.204,-0.347,80,0.525
25,10,0.25,0.204,-0.347,80,0.525
40,14,0.4,0.204,-0.292,52,0.615
30,3,0.45,0.204,-0.288,57,0.544
35,3,0.15,0.204,-0.281,75,0.533
30,20,0.4,0.204,-0.288,62,0.581
40,20,0.3,0.203,-0.281,67,0.522
25,14,0.45,0.203,-0.389,66,0.576
35,3,0.25,0.203,-0.281,73,0.562
35,7,0.2,0.203,-0.281,71,0.549
35,20,0.2,0.203,-0.281,69,0.58
25,3,0.3,0.203,-0.367,74,0.568
35,10,0.2,0.203,-0.281,71,0.549
35,14,0.25,0.203,-0.292,67,0.582
25,20,0.5,0.202,-0.419,63,0.587
30,7,0.4,0.202,-0.281,66,0.515
10,5,0.45,0.202,-0.365,125,0.528
40,14,0.45,0.202,-0.288,52,0.615
35,7,0.15,0.202,-0.281,77,0.545
30,20,0.25,0.202,-0.313,78,0.513
35,10,0.15,0.202,-0.281,77,0.545
35,10,0.4,0.202,-0.288,57,0.596
25,3,0.15,0.201,-0.375,94,0.5
20,5,0.45,0.201,-0.375,72,0.542
40,14,0.3,0.201,-0.281,67,0.537
40,10,0.45,0.201,-0.288,50,0.58
20,3,0.4,0.201,-0.375,74,0.554
35,7,0.25,0.201,-0.281,71,0.563
30,5,0.4,0.2,-0.281,68,0.515
40,10,0.4,0.2,-0.281,55,0.582
30,3,0.4,0.2,-0.281,66,0.515
40,20,0.45,0.2,-0.283,52,0.615
30,20,0.45,0.199,-0.288,55,0.6
30,20,0.2,0.199,-0.313,82,0.524
40,7,0.5,0.199,-0.283,48,0.583
40,7,0.45,0.199,-0.276,50,0.58
20,3,0.3,0.199,-0.348,78,0.513
35,10,0.35,0.199,-0.288,59,0.576
35,20,0.25,0.199,-0.292,67,0.582
25,20,0.45,0.199,-0.415,66,0.561
30,3,0.5,0.198,-0.288,51,0.608
40,14,0.2,0.198,-0.281,75,0.493
40,20,0.15,0.198,-0.281,79,0.544
35,7,0.35,0.198,-0.288,61,0.574
15,5,0.5,0.198,-0.388,83,0.542
30,5,0.3,0.198,-0.299,70,0.529
10,3,0.5,0.198,-0.336,113,0.531
20,10,0.4,0.198,-0.375,74,0.581
35,5,0.35,0.198,-0.288,61,0.574
30,20,0.3,0.198,-0.314,70,0.5
40,20,0.2,0.198,-0.281,75,0.493
25,14,0.5,0.198,-0.419,64,0.578
40,5,0.2,0.197,-0.281,75,0.507
30,7,0.25,0.197,-0.313,76,0.526
40,3,0.2,0.197,-0.281,75,0.52
30,14,0.2,0.197,-0.313,84,0.524
35,14,0.3,0.197,-0.288,63,0.571
30,5,0.45,0.197,-0.288,63,0.524
25,7,0.45,0.196,-0.389,64,0.562
35,14,0.4,0.196,-0.288,59,0.593
15,3,0.45,0.195,-0.344,87,0.506
10,5,0.5,0.195,-0.365,115,0.522
40,14,0.05,0.195,-0.281,93,0.527
40,7,0.05,0.195,-0.281,93,0.516
35,20,0.4,0.195,-0.288,59,0.593
40,3,0.05,0.195,-0.281,93,0.516
40,5,0.05,0.195,-0.281,93,0.516
30,20,0.5,0.195,-0.288,53,0.604
25,3,0.35,0.195,-0.389,74,0.554
40,10,0.05,0.195,-0.281,93,0.527
35,20,0.3,0.195,-0.288,63,0.587
40,20,0.05,0.194,-0.281,95,0.526
20,5,0.5,0.194,-0.375,70,0.543
20,5,0.4,0.194,-0.375,76,0.553
40,3,0.45,0.194,-0.276,57,0.509
20,3,0.45,0.194,-0.385,74,0.568
20,14,0.35,0.194,-0.375,78,0.564
40,5,0.5,0.194,-0.276,52,0.577
40,14,0.15,0.194,-0.281,77,0.519
40,7,0.35,0.194,-0.281,59,0.559
25,5,0.25,0.194,-0.352,82,0.524
35,10,0.45,0.193,-0.288,55,0.564
35,14,0.35,0.193,-0.288,63,0.587
40,10,0.3,0.193,-0.281,69,0.522
40,10,0.5,0.193,-0.283,46,0.587
40,20,0.1,0.193,-0.281,91,0.505
35,20,0.45,0.193,-0.288,57,0.596
20,7,0.35,0.193,-0.375,78,0.538
50,20,0.4,0.192,-0.336,44,0.5
25,5,0.45,0.192,-0.389,66,0.561
10,3,0.45,0.192,-0.365,119,0.521
35,20,0.1,0.192,-0.313,83,0.53
40,7,0.4,0.192,-0.281,57,0.561
30,14,0.45,0.192,-0.288,57,0.579
25,20,0.4,0.192,-0.412,66,0.576
15,3,0.35,0.192,-0.323,95,0.516
35,7,0.4,0.191,-0.288,55,0.564
35,7,0.45,0.191,-0.288,55,0.564
40,3,0.1,0.191,-0.281,87,0.529
30,10,0.4,0.191,-0.288,64,0.516
40,14,0.1,0.191,-0.281,91,0.505
10,7,0.5,0.191,-0.341,114,0.518
40,5,0.15,0.191,-0.281,83,0.506
40,7,0.1,0.191,-0.281,91,0.505
15,7,0.45,0.19,-0.334,88,0.534
40,20,0.4,0.19,-0.292,58,0.569
40,7,0.2,0.19,-0.281,75,0.493
40,7,0.15,0.19,-0.281,81,0.494
40,10,0.1,0.19,-0.281,91,0.505
20,10,0.3,0.19,-0.384,80,0.537
40,5,0.3,0.19,-0.281,63,0.524
35,20,0.35,0.19,-0.288,61,0.574
40,5,0.4,0.189,-0.276,57,0.526
40,20,0.35,0.189,-0.281,64,0.547
10,7,0.45,0.189,-0.365,120,0.525
20,5,0.3,0.189,-0.372,78,0.513
25,5,0.35,0.189,-0.402,72,0.556
40,10,0.35,0.189,-0.281,59,0.559
10,10,0.45,0.188,-0.365,118,0.508
40,10,0.15,0.188,-0.281,79,0.506
10,10,0.5,0.188,-0.365,114,0.509
15,3,0.5,0.188,-0.394,82,0.537
20,7,0.4,0.188,-0.375,76,0.553
40,3,0.15,0.188,-0.281,79,0.481
40,5,0.45,0.188,-0.276,57,0.544
20,7,0.3,0.188,-0.372,80,0.512
35,3,0.35,0.188,-0.288,61,0.557
10,20,0.45,0.187,-0.362,115,0.53
35,5,0.4,0.187,-0.288,57,0.561
40,3,0.4,0.187,-0.276,59,0.525
30,14,0.5,0.187,-0.288,57,0.579
40,3,0.25,0.187,-0.281,71,0.521
10,14,0.5,0.187,-0.365,108,0.509
35,20,0.5,0.186,-0.288,53,0.585
35,10,0.5,0.186,-0.288,53,0.566
35,5,0.45,0.186,-0.288,57,0.526
10,14,0.35,0.186,-0.384,132,0.538
30,10,0.45,0.186,-0.288,57,0.579
25,10,0.3,0.186,-0.402,74,0.541
20,10,0.35,0.185,-0.375,78,0.538
40,7,0.3,0.185,-0.281,67,0.522
25,10,0.5,0.185,-0.419,64,0.578
25,14,0.3,0.184,-0.409,74,0.527
25,10,0.45,0.184,-0.415,68,0.574
20,3,0.25,0.184,-0.358,82,0.512
25,7,0.15,0.184,-0.375,98,0.51
30,10,0.5,0.184,-0.288,55,0.582
15,20,0.45,0.184,-0.334,87,0.54
20,14,0.3,0.184,-0.387,80,0.537
15,5,0.45,0.184,-0.344,91,0.516
30,7,0.5,0.184,-0.288,57,0.544
40,10,0.25,0.184,-0.281,71,0.493
20,20,0.35,0.184,-0.375,80,0.537
40,14,0.25,0.183,-0.281,73,0.493
10,7,0.35,0.183,-0.384,133,0.534
25,14,0.4,0.183,-0.415,70,0.557
40,20,0.25,0.183,-0.281,73,0.493
25,5,0.4,0.183,-0.402,70,0.571
40,7,0.25,0.183,-0.281,73,0.493
40,5,0.35,0.183,-0.281,61,0.508
35,14,0.5,0.183,-0.288,53,0.566
20,20,0.3,0.182,-0.384,80,0.537
40,5,0.1,0.182,-0.281,89,0.506
10,10,0.35,0.182,-0.384,135,0.519
15,20,0.35,0.182,-0.323,97,0.505
40,3,0.5,0.182,-0.312,48,0.521
25,3,0.4,0.182,-0.389,70,0.529
30,7,0.2,0.182,-0.389,84,0.512
15,3,0.4,0.181,-0.344,93,0.516
25,20,0.3,0.181,-0.414,74,0.541
25,10,0.4,0.181,-0.412,68,0.574
30,5,0.2,0.181,-0.389,82,0.512
50,10,0.35,0.181,-0.326,54,0.463
30,3,0.2,0.181,-0.389,82,0.512
10,3,0.35,0.18,-0.384,131,0.534
25,7,0.3,0.18,-0.402,76,0.539
30,7,0.05,0.18,-0.387,119,0.513
30,14,0.05,0.18,-0.387,119,0.513
50,20,0.35,0.18,-0.336,52,0.462
30,14,0.15,0.18,-0.389,92,0.5
15,14,0.5,0.18,-0.374,81,0.543
10,3,0.4,0.18,-0.384,129,0.535
30,14,0.1,0.18,-0.389,107,0.486
30,20,0.05,0.18,-0.387,119,0.513
25,10,0.15,0.179,-0.375,100,0.53
40,5,0.25,0.179,-0.281,75,0.507
15,10,0.3,0.179,-0.348,101,0.495
50,5,0.3,0.179,-0.331,56,0.464
10,10,0.4,0.179,-0.362,124,0.516
50,14,0.3,0.179,-0.331,60,0.467
40,3,0.35,0.179,-0.276,61,0.525
25,20,0.35,0.178,-0.412,72,0.542
15,14,0.35,0.178,-0.323,98,0.5
10,5,0.35,0.178,-0.384,135,0.533
30,7,0.45,0.178,-0.288,60,0.533
15,3,0.25,0.178,-0.378,107,0.495
30,20,0.15,0.177,-0.389,94,0.5
50,14,0.35,0.177,-0.341,58,0.466
50,5,0.35,0.177,-0.341,56,0.464
15,10,0.2,0.177,-0.372,123,0.472
50,10,0.4,0.177,-0.336,50,0.5
15,3,0.3,0.177,-0.354,103,0.505
20,5,0.35,0.177,-0.375,78,0.526
25,5,0.15,0.177,-0.402,96,0.51
15,5,0.4,0.176,-0.334,93,0.516
25,7,0.5,0.176,-0.419,64,0.562
30,10,0.2,0.176,-0.389,84,0.512
15,20,0.2,0.176,-0.383,118,0.483
25,5,0.3,0.176,-0.402,78,0.526
10,20,0.35,0.176,-0.384,133,0.526
15,7,0.5,0.176,-0.373,83,0.542
15,5,0.35,0.176,-0.323,97,0.515
15,14,0.45,0.176,-0.334,87,0.506
15,20,0.4,0.175,-0.341,95,0.516
15,10,0.5,0.175,-0.379,83,0.53
50,10,0.3,0.175,-0.331,58,0.466
35,5,0.5,0.175,-0.288,55,0.527
10,7,0.4,0.175,-0.387,130,0.515
25,14,0.35,0.175,-0.412,72,0.542
30,10,0.05,0.175,-0.387,119,0.513
30,10,0.15,0.175,-0.389,90,0.5
25,3,0.5,0.175,-0.419,64,0.547
25,7,0.35,0.175,-0.402,74,0.541
35,7,0.5,0.174,-0.288,51,0.549
50,7,0.4,0.174,-0.336,52,0.5
30,5,0.25,0.174,-0.389,78,0.513
15,7,0.2,0.174,-0.372,123,0.463
35,3,0.4,0.174,-0.288,61,0.574
30,10,0.1,0.174,-0.389,109,0.477
30,7,0.1,0.174,-0.389,107,0.477
25,3,0.45,0.174,-0.419,66,0.53
20,20,0.25,0.174,-0.384,82,0.512
25,10,0.35,0.174,-0.412,72,0.542
30,3,0.3,0.174,-0.36,72,0.5
30,5,0.15,0.173,-0.389,94,0.5
15,10,0.35,0.173,-0.323,96,0.51
50,3,0.3,0.173,-0.341,60,0.467
40,3,0.3,0.173,-0.281,69,0.493
10,14,0.45,0.173,-0.362,114,0.518
50,5,0.25,0.173,-0.331,58,0.483
50,20,0.3,0.173,-0.331,60,0.467
15,7,0.35,0.172,-0.323,99,0.505
30,7,0.15,0.172,-0.389,90,0.5
25,5,0.5,0.172,-0.419,66,0.561
15,20,0.5,0.172,-0.379,83,0.53
50,7,0.3,0.172,-0.326,54,0.463
30,20,0.1,0.171,-0.389,111,0.486
25,7,0.4,0.171,-0.412,72,0.528
50,7,0.35,0.171,-0.336,54,0.463
15,10,0.45,0.171,-0.334,87,0.517
15,14,0.2,0.171,-0.383,125,0.48
20,10,0.25,0.171,-0.384,82,0.512
30,5,0.1,0.171,-0.389,107,0.477
20,7,0.25,0.17,-0.39,84,0.512
20,7,0.2,0.17,-0.397,88,0.5
15,3,0.2,0.17,-0.378,119,0.462
50,14,0.25,0.17,-0.331,66,0.455
30,3,0.05,0.169,-0.387,119,0.504
20,14,0.25,0.169,-0.39,84,0.512
15,5,0.2,0.169,-0.372,125,0.472
50,10,0.25,0.168,-0.345,62,0.452
10,5,0.4,0.168,-0.384,131,0.519
25,14,0.15,0.168,-0.402,100,0.53
30,5,0.05,0.168,-0.393,117,0.504
10,20,0.5,0.168,-0.365,107,0.514
10,20,0.4,0.168,-0.362,123,0.512
