test_year,rank,params,train_cagr,cagr,max_dd,trades,bh_cagr,bh_dd
2017,1,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.35}",0.249,0.054,-0.044,8,0.1024959006855215,-0.07423818407960167
2017,2,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.1}",0.243,0.052,-0.052,14,0.1024959006855215,-0.07423818407960167
2017,3,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.05}",0.242,0.052,-0.052,14,0.1024959006855215,-0.07423818407960167
2017,4,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.3}",0.24,0.065,-0.044,10,0.1024959006855215,-0.07423818407960167
2017,5,"{'sma_window': 15, 'atr_window': 14, 'atr_multiplier': 0.3}",0.239,0.026,-0.044,12,0.1024959006855215,-0.07423818407960167
2018,1,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.35}",0.249,0.057,-0.13,18,0.019453303160553714,-0.18971772953692892
2018,2,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.1}",0.243,0.032,-0.119,26,0.019453303160553714,-0.18971772953692892
2018,3,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.05}",0.242,0.052,-0.111,26,0.019453303160553714,-0.18971772953692892
2018,4,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.3}",0.24,0.057,-0.13,18,0.019453303160553714,-0.18971772953692892
2018,5,"{'sma_window': 15, 'atr_window': 14, 'atr_multiplier': 0.3}",0.239,0.028,-0.13,19,0.019453303160553714,-0.18971772953692892
2019,1,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.35}",0.249,0.347,-0.075,10,0.39699631530400215,-0.10026170398371603
2019,2,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.1}",0.243,0.281,-0.11,12,0.39699631530400215,-0.10026170398371603
2019,3,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.05}",0.242,0.324,-0.083,14,0.39699631530400215,-0.10026170398371603
2019,4,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.3}",0.24,0.282,-0.084,10,0.39699631530400215,-0.10026170398371603
2019,5,"{'sma_window': 15, 'atr_window': 14, 'atr_multiplier': 0.3}",0.239,0.301,-0.084,10,0.39699631530400215,-0.10026170398371603
2020,1,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.35}",0.249,0.114,-0.189,14,0.3344553611610801,-0.2853711592495241
2020,2,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.1}",0.243,0.272,-0.189,24,0.3344553611610801,-0.2853711592495241
2020,3,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.05}",0.242,0.359,-0.171,24,0.3344553611610801,-0.2853711592495241
2020,4,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.3}",0.24,0.171,-0.189,14,0.3344553611610801,-0.2853711592495241
2020,5,"{'sma_window': 15, 'atr_window': 14, 'atr_multiplier': 0.3}",0.239,0.138,-0.189,18,0.3344553611610801,-0.2853711592495241
2021,1,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.35}",0.249,0.679,-0.07,16,0.41704418734450255,-0.10060779406506949
2021,2,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.1}",0.243,0.775,-0.054,24,0.41704418734450255,-0.10060779406506949
2021,3,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.05}",0.242,0.756,-0.054,26,0.41704418734450255,-0.10060779406506949
2021,4,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.3}",0.24,0.703,-0.07,16,0.41704418734450255,-0.10060779406506949
2021,5,"{'sma_window': 15, 'atr_window': 14, 'atr_multiplier': 0.3}",0.239,0.659,-0.07,18,0.41704418734450255,-0.10060779406506949
2022,1,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.35}",0.249,-0.063,-0.212,15,-0.30488761284792554,-0.30483553556367715
2022,2,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.1}",0.243,-0.121,-0.245,25,-0.30488761284792554,-0.30483553556367715
2022,3,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.05}",0.242,-0.19,-0.297,27,-0.30488761284792554,-0.30483553556367715
2022,4,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.3}",0.24,-0.122,-0.252,17,-0.30488761284792554,-0.30483553556367715
2022,5,"{'sma_window': 15, 'atr_window': 14, 'atr_multiplier': 0.3}",0.239,-0.043,-0.209,15,-0.30488761284792554,-0.30483553556367715
2023,1,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.35}",0.249,0.083,-0.133,19,0.45371384394042313,-0.07196659801957858
2023,2,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.1}",0.243,0.022,-0.126,23,0.45371384394042313,-0.07196659801957858
2023,3,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.05}",0.242,0.024,-0.128,23,0.45371384394042313,-0.07196659801957858
2023,4,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.3}",0.24,0.097,-0.133,19,0.45371384394042313,-0.07196659801957858
2023,5,"{'sma_window': 15, 'atr_window': 14, 'atr_multiplier': 0.3}",0.239,0.163,-0.11,19,0.45371384394042313,-0.07196659801957858
2024,1,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.35}",0.249,0.163,-0.104,13,0.35168582773996016,-0.13602552769453005
2024,2,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.1}",0.243,0.119,-0.102,18,0.35168582773996016,-0.13602552769453005
2024,3,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.05}",0.242,0.158,-0.074,22,0.35168582773996016,-0.13602552769453005
2024,4,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.3}",0.24,0.169,-0.096,13,0.35168582773996016,-0.13602552769453005
2024,5,"{'sma_window': 15, 'atr_window': 14, 'atr_multiplier': 0.3}",0.239,0.164,-0.096,13,0.35168582773996016,-0.13602552769453005
2025,1,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.35}",0.249,0.291,-0.116,11,0.05653612881348846,-0.26909698868113086
2025,2,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.1}",0.243,0.268,-0.112,21,0.05653612881348846,-0.26909698868113086
2025,3,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.05}",0.242,0.303,-0.112,21,0.05653612881348846,-0.26909698868113086
2025,4,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.3}",0.24,0.278,-0.116,11,0.05653612881348846,-0.26909698868113086
2025,5,"{'sma_window': 15, 'atr_window': 14, 'atr_multiplier': 0.3}",0.239,0.291,-0.112,13,0.05653612881348846,-0.26909698868113086
2026,1,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.35}",0.249,0.183,-0.09,2,0.29018068508079287,-0.08843110857016404
2026,2,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.1}",0.243,0.183,-0.09,2,0.29018068508079287,-0.08843110857016404
2026,3,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.05}",0.242,0.183,-0.09,2,0.29018068508079287,-0.08843110857016404
2026,4,"{'sma_window': 15, 'atr_window': 20, 'atr_multiplier': 0.3}",0.24,0.183,-0.09,2,0.29018068508079287,-0.08843110857016404
2026,5,"{'sma_window': 15, 'atr_window': 14, 'atr_multiplier': 0.3}",0.239,0.183,-0.09,2,0.29018068508079287,-0.08843110857016404
